wavelength,mean_reflectance_gt_5
566.44719967,16.649118919
566.87571373,16.634959290999998
567.30420844,16.610460424000003
567.73268378,16.583800368
568.16113973,16.568860507999997
568.58957627,16.56282871
569.01799338,16.565506777
569.44639105,16.551040177000004
569.87476924,16.549606638
570.30312796,16.543461068
570.73146717,16.526675894
571.15978685,16.510380981
571.588087,16.508798161999998
572.01636758,16.494566814
572.44462858,16.485473321999997
572.87286998,16.464703679000003
573.30109177,16.451616237
573.72929391,16.439507125
574.1574764,16.43273473
574.58563922,16.427444126
575.01378234,16.427367163
575.44190574,16.43028875
575.87000941,16.451976357000003
576.29809333,16.470294842
576.72615748,16.499914343
577.15420184,16.529401333000003
577.58222639,16.553561439
578.01023111,16.567999311
578.43821598,16.590464719000003
578.86618099,16.610345286999998
579.29412611,16.633102406
579.72205133,16.645191128999997
580.14995662,16.664072572000002
580.57784197,16.687031238000003
581.00570736,16.717133241999996
581.43355276,16.743708406000003
581.86137817,16.777818144
582.28918356,16.796148625000004
582.7169689,16.804007892999998
583.1447342,16.781859801
583.57247941,16.768750965000002
584.00020453,16.735281967
584.42790954,16.712327695
584.85559441,16.685790395
585.28325913,16.664022535
585.71090368,16.632605056
586.13852803,16.614997081000002
586.56613218,16.581764003
586.9937161,16.557303941
587.42127977,16.536426919
587.84882317,16.507500354
588.27634629,16.469851740000003
588.7038491,16.445561328999997
589.13133159,16.428220649
589.55879373,16.406788598
589.98623551,16.4056058
590.41365691,16.409297712
590.84105791,16.411751332999998
591.26843849,16.411016396
591.69579863,16.420449202
592.12313831,16.428262898
592.55045752,16.446395602000003
592.97775623,16.482983814
593.40503442,16.508342077000002
593.83229208,16.533127593
594.25952919,16.548324895
594.68674573,16.568699892
595.11394167,16.566134083
595.541117,16.560709500999998
595.96827171,16.57030744
596.39540576,16.594028587
596.82251915,16.607685782
597.24961185,16.639052415000002
597.67668385,16.659571484000004
598.10373512,16.667715082
598.53076564,16.669554034999997
598.95777541,16.669813042999998
599.38476439,16.657944663000002
599.81173257,16.663457481000002
600.23867993,16.661027994
600.66560645,16.650075186
601.09251211,16.653927738
601.5193969,16.640967051
601.94626078,16.635504952999998
602.37310376,16.627237517000005
602.7999258,16.635685705
603.22672688,16.620696643000002
603.65350699,16.605631818
604.08026611,16.582578990000002
604.50700422,16.556823758
604.9337213,16.524361711999997
605.36041733,16.498627342
605.78709229,16.481065436
606.21374616,16.449008095
606.64037893,16.438571858
607.06699057,16.409330102
607.49358107,16.397257746
607.9201504,16.375453307
608.34669856,16.372297670000002
608.77322551,16.346792608999998
609.19973124,16.341903261
609.62621572,16.329924522
610.05267896,16.339477708
610.47912091,16.343998328999998
610.90554156,16.356727927
611.3319409,16.36889373
611.75831891,16.380558382
612.18467556,16.380947311000003
612.61101083,16.38270325
613.03732472,16.393378086000002
613.46361719,16.403891346
613.88988823,16.410201297000004
614.31613782,16.452609517999996
614.74236595,16.488053235000002
615.16857258,16.507316874999997
615.59475771,16.5313616
616.02092131,16.562393055
616.44706337,16.57876225
616.87318386,16.600722446
617.29928278,16.652803368
617.72536008,16.681334137
618.15141577,16.712026665000003
618.57744982,16.715348416999998
619.0034622,16.727545709999998
619.42945291,16.71742979
619.85542192,16.719647432
620.28136922,16.712310439000003
620.70729478,16.709016223
621.13319858,16.687850144000002
621.55908061,16.68043873
621.98494085,16.666412327
622.41077927,16.644163418000005
622.83659587,16.620740974999997
623.26239061,16.602400279
623.68816348,16.564347055000002
624.11391447,16.52444885
624.53964355,16.491261944
624.9653507,16.449792775
625.39103591,16.416512205
625.81669915,16.399874606
626.24234041,16.380065624999997
626.66795966,16.361954826999998
627.09355689,16.338376079000003
627.51913209,16.301720766
